"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1"
"1014","variable","Podkładki pod mysz z nadrukiem","","","Ilość","50, 100, 150, 200, 250, 300, 400, 500, 350"
"","variation","Podkładki pod mysz z nadrukiem","id:1014","852.5","Ilość","50"
"","variation","Podkładki pod mysz z nadrukiem","id:1014","1457.5","Ilość","100"
"","variation","Podkładki pod mysz z nadrukiem","id:1014","2042.7","Ilość","150"
"","variation","Podkładki pod mysz z nadrukiem","id:1014","2640","Ilość","200"
"","variation","Podkładki pod mysz z nadrukiem","id:1014","2376","Ilość","250"
"","variation","Podkładki pod mysz z nadrukiem","id:1014","2593.8","Ilość","300"
"","variation","Podkładki pod mysz z nadrukiem","id:1014","3349.5","Ilość","400"
"","variation","Podkładki pod mysz z nadrukiem","id:1014","4056.8","Ilość","500"
"","variation","Podkładki pod mysz z nadrukiem","id:1014","","Ilość","350"